client_id,client_account,revenue_in_millions
177,HDFC Bank,406
178,Wipro,1080
179,Apollo Hospitals,761
180,Google,278
181,Nestle,863
182,ICICI Bank,454
183,Nestle,320
184,Tata Steel,570
185,Amazon,903
186,Cognizant,655
187,Google,754
188,Reliance,375
189,Apollo Hospitals,362
190,Microsoft,236
191,HDFC Bank,591
192,Infosys,357
193,Wipro,83
194,Tata Steel,558
195,ICICI Bank,257
196,HDFC Bank,183
197,Deloitte,269
198,HDFC Bank,493
199,Tata Steel,275
200,Tata Steel,382
201,Apollo Hospitals,354
202,Wipro,190
203,ICICI Bank,259
204,Deloitte,444
205,Infosys,392
206,ICICI Bank,390
207,Accenture,256
208,Apollo Hospitals,451
209,Reliance,646
210,Nestle,351
211,Apollo Hospitals,333
212,Apollo Hospitals,496
213,Google,311
214,HDFC Bank,644
215,Amazon,923
216,Apollo Hospitals,758
217,Apollo Hospitals,968
218,Accenture,610
219,Amazon,797
220,Accenture,528
221,Google,132
222,Flipkart,186
223,HDFC Bank,521
224,HDFC Bank,390
225,Apollo Hospitals,192
226,Cognizant,596
227,Amazon,514
228,Microsoft,226
229,Nestle,573
230,Deloitte,787
231,Accenture,557
232,Deloitte,436
233,Tata Steel,684
234,HDFC Bank,836
235,Wipro,354
236,Cognizant,386
237,Accenture,703
238,Flipkart,124
239,HDFC Bank,204
240,Flipkart,462
241,Tata Steel,140
242,HDFC Bank,160
243,Reliance,1036
244,HDFC Bank,460
245,Deloitte,266
246,HDFC Bank,631
247,Apollo Hospitals,895
248,Deloitte,584
249,Microsoft,142
250,Amazon,293
251,Infosys,708
252,Infosys,907
253,ICICI Bank,217
254,Reliance,353
255,Amazon,434
256,Google,558
257,Microsoft,289
258,Tata Steel,387
259,Flipkart,175
260,ICICI Bank,135
261,Microsoft,480
262,Cognizant,136
263,Wipro,810
264,Apollo Hospitals,747
265,Infosys,458
266,Tata Steel,235
267,Deloitte,469
268,ICICI Bank,219
269,Nestle,254
270,Infosys,577
271,Apollo Hospitals,904
272,Wipro,350
273,Deloitte,636
274,HDFC Bank,429
275,Deloitte,463
276,Flipkart,178
277,Apollo Hospitals,554
278,Tata Steel,280
279,Amazon,494
280,Flipkart,732
281,Cognizant,233
282,ICICI Bank,649
283,ICICI Bank,124
284,Nestle,155
285,Apollo Hospitals,238
286,Infosys,663
287,Microsoft,187
288,Infosys,466
289,Deloitte,516
290,Infosys,541
291,Tata Steel,723
292,Tata Steel,248
293,Reliance,579
294,Microsoft,308
295,Flipkart,286
296,Reliance,108
297,Deloitte,213
298,Reliance,307
299,Google,410
300,HDFC Bank,599
301,Accenture,285
302,Microsoft,543
303,Infosys,220
304,Nestle,615
305,Flipkart,423
306,Google,455
307,Infosys,260
308,ICICI Bank,291
309,Apollo Hospitals,375
310,Amazon,803
311,Accenture,320
312,Cognizant,192
313,Wipro,377
314,Tata Steel,424
315,ICICI Bank,193
316,Reliance,636
317,Flipkart,250
318,Wipro,453
319,Infosys,462
320,HDFC Bank,474
321,Cognizant,378
322,Accenture,422
323,HDFC Bank,329
324,Microsoft,292
325,Infosys,827
326,Google,360
327,HDFC Bank,486
328,HDFC Bank,348
329,Wipro,316
330,Amazon,813
331,Amazon,1032
332,Reliance,980
333,Accenture,293
334,Deloitte,397
335,Flipkart,259
336,Reliance,402
337,Cognizant,611
338,Nestle,1079
339,Nestle,587
340,Tata Steel,128
341,Apollo Hospitals,374
342,ICICI Bank,535
343,Nestle,160
344,Deloitte,1010
345,Accenture,345
346,ICICI Bank,688
347,Google,499
348,Nestle,677
349,Infosys,369
350,Apollo Hospitals,139
351,Apollo Hospitals,631
352,Apollo Hospitals,170
353,Google,163
354,Accenture,711
355,Infosys,164
356,Infosys,784
357,Cognizant,445
358,HDFC Bank,340
359,Microsoft,498
360,Apollo Hospitals,607
361,HDFC Bank,283
362,Google,658
363,Nestle,426
364,Flipkart,672
365,Flipkart,1015
366,Reliance,869
367,Cognizant,417
368,Infosys,441
369,ICICI Bank,148
370,Flipkart,624
371,HDFC Bank,801
372,Reliance,508
373,Flipkart,144
374,Flipkart,88
375,Microsoft,416
376,Nestle,162
377,Nestle,404
378,Cognizant,1068
379,HDFC Bank,383
380,Deloitte,494
381,Microsoft,664
382,ICICI Bank,344
383,Deloitte,457
384,HDFC Bank,420
385,Accenture,370
386,Infosys,641
387,Accenture,157
388,ICICI Bank,192
389,ICICI Bank,472
390,ICICI Bank,458
391,Cognizant,405
392,Cognizant,294
393,Google,336
394,Tata Steel,519
395,ICICI Bank,491
396,Flipkart,264
397,Reliance,360
398,Reliance,348
399,Apollo Hospitals,622
400,Infosys,265
401,Microsoft,748
402,Tata Steel,759
403,HDFC Bank,278
404,Cognizant,288
405,Reliance,287
406,Tata Steel,310
407,Infosys,484
408,Cognizant,122
409,Amazon,540
410,Google,172
411,Flipkart,1034
412,Microsoft,388
413,Microsoft,202
414,Flipkart,435
415,HDFC Bank,583
416,Google,428
417,Amazon,115
418,Google,121
419,Tata Steel,535
420,ICICI Bank,102
421,Wipro,720
422,Amazon,520
423,Google,81
424,Reliance,473
425,ICICI Bank,243
426,Amazon,553
427,Nestle,625
428,Tata Steel,102
429,Google,434
430,Flipkart,436
431,Google,189
432,Reliance,905
433,Wipro,325
434,Flipkart,747
435,Infosys,175
436,Wipro,94
437,Nestle,585
438,Deloitte,356
439,Apollo Hospitals,124
440,Nestle,708
441,Infosys,186
442,HDFC Bank,115
443,Google,105
444,Tata Steel,416
445,Microsoft,306
446,Amazon,116
447,Wipro,694
448,Google,358
449,Accenture,258
450,Cognizant,372
451,Amazon,511
452,ICICI Bank,295
453,Reliance,602
454,HDFC Bank,313
455,Google,659
456,Accenture,616
457,Nestle,364
458,Accenture,479
459,Accenture,921
460,Tata Steel,486
461,Deloitte,196
462,Accenture,199
463,Infosys,174
464,Tata Steel,207
465,Accenture,331
466,Flipkart,283
467,Deloitte,239
468,Apollo Hospitals,507
469,Infosys,524
470,ICICI Bank,152
471,Flipkart,643
472,ICICI Bank,349
473,Google,411
474,Cognizant,483
475,Nestle,469
476,Apollo Hospitals,473
477,Apollo Hospitals,327
478,HDFC Bank,803
479,Google,167
480,Flipkart,384
481,Nestle,603
482,ICICI Bank,705
483,Google,546
484,Deloitte,987
485,Reliance,495
486,Reliance,377
487,Nestle,315
488,Apollo Hospitals,175
489,Infosys,118
490,Amazon,230
491,Accenture,375
492,ICICI Bank,612
493,Nestle,309
494,Microsoft,381
495,Reliance,467
496,Nestle,614
497,Microsoft,192
498,Apollo Hospitals,306
499,HDFC Bank,326
500,HDFC Bank,562
501,Cognizant,146
502,Deloitte,142
503,Nestle,616
504,Google,489
505,Google,714
506,Flipkart,460
507,Tata Steel,118
508,Amazon,265
509,Infosys,718
510,Cognizant,552
511,Deloitte,238
512,Infosys,291
513,Microsoft,545
514,Reliance,485
515,Apollo Hospitals,558
516,Cognizant,580
517,HDFC Bank,577
518,Flipkart,343
519,Infosys,514
520,Infosys,798
521,Tata Steel,391
522,Deloitte,413
523,ICICI Bank,625
524,ICICI Bank,340
525,Flipkart,396
526,Microsoft,390
527,Flipkart,552
528,Deloitte,380
529,Reliance,640
530,Tata Steel,187
531,Nestle,307
532,Wipro,695
533,Tata Steel,375
534,Deloitte,387
535,Accenture,444
536,Wipro,398
537,Deloitte,243
538,HDFC Bank,311
539,Amazon,246
540,Infosys,358
541,Deloitte,598
542,ICICI Bank,559
543,Reliance,214
544,Amazon,164
545,Google,958
546,Amazon,187
547,Accenture,393
548,Reliance,193
549,Accenture,735
550,Apollo Hospitals,486
551,Flipkart,683
552,Cognizant,426
553,Apollo Hospitals,490
554,Reliance,504
555,ICICI Bank,540
556,Microsoft,451
557,Deloitte,161
558,Wipro,652
559,Accenture,803
560,Wipro,238
561,Cognizant,482
562,HDFC Bank,191
563,ICICI Bank,395
564,Tata Steel,293
565,Accenture,435
566,Accenture,677
567,Wipro,479
568,Infosys,64
569,Flipkart,242
570,Flipkart,839
571,Google,462
572,Amazon,355
573,HDFC Bank,412
574,ICICI Bank,230
575,Wipro,427
576,Apollo Hospitals,286
577,Accenture,321
578,Apollo Hospitals,224
579,Google,343
580,Apollo Hospitals,535
581,Nestle,214
582,Flipkart,1012
583,Deloitte,265
584,Microsoft,471
585,Flipkart,439
586,Cognizant,357
587,Nestle,574
588,Reliance,481
589,Wipro,544
590,Amazon,483
591,Wipro,128
592,ICICI Bank,701
593,Nestle,558
594,Amazon,675
595,Apollo Hospitals,997
596,Wipro,379
597,Reliance,553
598,Accenture,400
599,Infosys,418
600,Flipkart,654
601,Apollo Hospitals,361
602,HDFC Bank,396
603,Accenture,272
604,Google,577
605,HDFC Bank,265
606,Apollo Hospitals,168
607,Nestle,312
608,Reliance,218
609,Cognizant,775
610,Apollo Hospitals,492
611,HDFC Bank,355
612,Apollo Hospitals,503
613,Wipro,393
614,Tata Steel,621
615,Amazon,748
616,Microsoft,283
617,Google,643
618,Reliance,585
619,Apollo Hospitals,614
620,Tata Steel,681
621,ICICI Bank,389
622,HDFC Bank,395
623,Accenture,550
624,Accenture,337
625,Tata Steel,194
626,Accenture,609
627,Wipro,289
628,Microsoft,734
629,ICICI Bank,835
630,Nestle,133
631,ICICI Bank,722
632,HDFC Bank,263
633,Google,478
634,Nestle,281
635,Tata Steel,940
636,HDFC Bank,129
637,Tata Steel,564
638,Microsoft,404
639,Infosys,233
640,ICICI Bank,1086
641,Apollo Hospitals,545
642,Infosys,545
643,Wipro,198
644,Reliance,190
645,Infosys,255
646,Flipkart,521
647,Reliance,432
648,Flipkart,265
649,Flipkart,448
650,Google,292
651,Microsoft,284
652,Flipkart,157
653,Cognizant,428
654,Deloitte,170
655,Reliance,511
656,HDFC Bank,354
657,Google,291
658,Deloitte,377
659,Deloitte,520
660,Deloitte,647
661,Wipro,708
662,HDFC Bank,226
663,Infosys,363
664,Wipro,367
665,Cognizant,239
666,Flipkart,433
667,Tata Steel,614
668,Microsoft,590
669,Amazon,449
670,Reliance,209
671,Accenture,1049
672,Google,157
673,Google,690
674,Deloitte,326
675,Flipkart,210
676,Wipro,497
677,Cognizant,259
678,Accenture,195
679,Wipro,234
680,Flipkart,243
681,Nestle,253
682,Apollo Hospitals,851
683,Wipro,783
684,Apollo Hospitals,638
685,Microsoft,266
686,ICICI Bank,477
687,Cognizant,504
688,Cognizant,443
689,Tata Steel,399
690,Tata Steel,217
691,ICICI Bank,154
692,Cognizant,784
693,Tata Steel,188
694,ICICI Bank,594
695,Apollo Hospitals,465
696,Cognizant,710
697,Reliance,442
698,Google,423
699,Deloitte,405
700,Cognizant,511
701,Reliance,741
702,Flipkart,1043
703,HDFC Bank,119
704,Apollo Hospitals,400
705,Wipro,589
706,Infosys,274
707,Infosys,347
708,Microsoft,730
709,Nestle,630
710,Flipkart,152
711,Nestle,450
712,Wipro,317
713,Accenture,408
714,Reliance,356
715,HDFC Bank,181
716,Google,492
717,Google,339
718,Flipkart,495
719,Google,778
720,Cognizant,521
721,Wipro,318
722,Tata Steel,864
723,Reliance,756
724,Microsoft,425
725,Google,290
726,Nestle,240
727,Flipkart,512
728,HDFC Bank,231
729,Wipro,343
730,Deloitte,747
731,HDFC Bank,604
732,Wipro,207
733,Cognizant,300
734,HDFC Bank,217
735,Cognizant,676
736,Microsoft,204
737,Flipkart,247
738,Wipro,218
739,Flipkart,642
740,Flipkart,583
741,Apollo Hospitals,600
742,Amazon,409
743,ICICI Bank,360
744,Deloitte,146
745,Google,417
746,HDFC Bank,98
747,HDFC Bank,608
748,Deloitte,409
749,Apollo Hospitals,203
750,Google,879
751,Reliance,217
752,Amazon,300
753,HDFC Bank,595
754,Deloitte,745
755,Amazon,457
756,Cognizant,583
757,Flipkart,824
758,Amazon,474
759,HDFC Bank,459
760,Nestle,936
761,HDFC Bank,163
762,Deloitte,164
763,ICICI Bank,194
764,Accenture,668
765,Wipro,168
766,ICICI Bank,425
767,ICICI Bank,324
768,Cognizant,433
769,Infosys,288
770,Accenture,762
771,Deloitte,103
772,Flipkart,751
773,ICICI Bank,702
774,Google,188
775,Tata Steel,428
776,Wipro,584
777,Tata Steel,342
778,Tata Steel,240
779,Infosys,76
780,Google,361
781,Cognizant,712
782,Apollo Hospitals,178
783,Google,202
784,Infosys,509
785,Google,1003
786,Reliance,769
787,Accenture,330
788,Reliance,419
789,Accenture,265
790,Microsoft,516
791,Infosys,299
792,HDFC Bank,121
793,Infosys,120
794,Google,114
795,Microsoft,355
796,Nestle,435
797,Cognizant,649
798,Reliance,647
799,Infosys,1010
800,Flipkart,669
801,Reliance,889
802,Flipkart,196
803,Tata Steel,439
804,Apollo Hospitals,831
805,Amazon,670
806,ICICI Bank,246
807,Accenture,128
808,Deloitte,425
809,Cognizant,501
810,Infosys,617
811,Microsoft,210
812,Wipro,889
813,Deloitte,234
814,Accenture,612
815,Tata Steel,353
816,Microsoft,541
817,ICICI Bank,161
818,Amazon,630
819,Deloitte,231
820,Nestle,436
821,Cognizant,221
822,Cognizant,153
823,Apollo Hospitals,597
824,Cognizant,238
825,Microsoft,179
826,Wipro,555
827,HDFC Bank,143
828,ICICI Bank,592
829,Google,458
830,Deloitte,476
831,Apollo Hospitals,1010
832,Reliance,536
833,Wipro,928
834,Flipkart,873
835,Microsoft,365
836,Apollo Hospitals,655
837,Tata Steel,256
838,Microsoft,438
839,Accenture,277
840,Nestle,565
841,Amazon,874
842,Wipro,653
843,HDFC Bank,266
844,HDFC Bank,252
845,Accenture,87
846,Apollo Hospitals,148
847,Apollo Hospitals,1020
848,Flipkart,339
849,Amazon,696
850,Amazon,703
851,ICICI Bank,604
852,Amazon,652
853,Accenture,317
854,Flipkart,466
855,Amazon,810
856,Amazon,383
857,Infosys,675
858,Amazon,419
859,ICICI Bank,299
860,Cognizant,527
861,Wipro,440
862,Apollo Hospitals,572
863,Infosys,659
864,Wipro,525
865,Flipkart,223
866,Cognizant,1011
867,Infosys,252
868,Infosys,228
869,ICICI Bank,111
870,HDFC Bank,767
871,Deloitte,364
872,Wipro,179
873,Cognizant,734
874,Deloitte,1019
875,HDFC Bank,109
876,Reliance,407
877,HDFC Bank,392
878,Microsoft,309
879,Apollo Hospitals,338
880,Flipkart,648
881,Apollo Hospitals,467
882,Reliance,212
883,Tata Steel,819
884,Deloitte,287
885,HDFC Bank,734
886,Apollo Hospitals,852
887,Tata Steel,314
888,Apollo Hospitals,409
889,Amazon,555
890,Reliance,583
891,Tata Steel,365
892,Apollo Hospitals,222
893,ICICI Bank,208
894,Deloitte,209
895,Deloitte,505
896,Wipro,341
897,Amazon,110
898,Tata Steel,610
899,Flipkart,551
900,Wipro,792
901,Reliance,507
902,Deloitte,393
903,Accenture,556
904,Cognizant,523
905,Infosys,323
906,Flipkart,312
907,Nestle,639
908,Infosys,820
909,Amazon,512
910,Nestle,259
911,Google,648
912,Tata Steel,727
913,Apollo Hospitals,282
914,Wipro,142
915,Apollo Hospitals,211
916,Tata Steel,238
917,Reliance,224
918,Amazon,186
919,HDFC Bank,850
920,Infosys,1028
921,ICICI Bank,384
922,Tata Steel,415
923,Accenture,162
924,Infosys,496
925,Infosys,634
926,Google,216
927,ICICI Bank,256
928,Flipkart,1052
929,Reliance,318
930,Microsoft,362
931,Nestle,683
932,Nestle,235
933,Deloitte,136
934,Apollo Hospitals,118
935,Tata Steel,386
936,Apollo Hospitals,624
937,Amazon,1021
938,Apollo Hospitals,604
939,HDFC Bank,466
940,Accenture,882
941,Microsoft,618
942,Google,383
943,Infosys,386
944,ICICI Bank,524
945,Tata Steel,512
946,Infosys,546
947,HDFC Bank,621
948,Accenture,379
949,Deloitte,172
950,Nestle,372
951,Nestle,465
952,Microsoft,859
953,Cognizant,684
954,Accenture,328
955,Wipro,485
956,Deloitte,335
957,Microsoft,433
958,Wipro,305
959,Amazon,236
960,Tata Steel,279
961,Flipkart,695
962,Nestle,99
963,Flipkart,650
964,Flipkart,208
965,ICICI Bank,346
966,HDFC Bank,600
967,Microsoft,902
968,Wipro,568
969,Accenture,165
970,Flipkart,638
971,Cognizant,373
972,Flipkart,279
973,Infosys,314
974,Infosys,243
975,Cognizant,1030
976,Apollo Hospitals,706
977,Accenture,333
978,Google,630
979,Cognizant,246
980,Microsoft,444
981,Wipro,924
982,Wipro,246
983,Wipro,374
984,ICICI Bank,519
985,Tata Steel,679
986,Microsoft,569
987,Flipkart,362
988,Deloitte,513
989,Infosys,925
990,Deloitte,84
991,Cognizant,75
992,HDFC Bank,282
993,Cognizant,660
994,ICICI Bank,142
995,Apollo Hospitals,393
996,Wipro,149
997,Cognizant,1049
998,Accenture,247
999,Accenture,423
1000,Amazon,256
1001,Google,368
1002,Wipro,745
1003,Accenture,420
1004,Accenture,225
1005,Microsoft,200
1006,Tata Steel,303
1007,Reliance,205
1008,Reliance,251
1009,Microsoft,624
1010,Accenture,351
1011,Nestle,502
1012,Reliance,260
1013,Infosys,487
1014,Infosys,626
1015,ICICI Bank,602
1016,Google,432
1017,Nestle,386
1018,Amazon,325
1019,Infosys,409
1020,HDFC Bank,214
1021,Wipro,139
1022,Nestle,739
1023,Reliance,601
1024,Apollo Hospitals,373
1025,Tata Steel,499
1026,ICICI Bank,624
1027,Infosys,113
1028,ICICI Bank,610
1029,Reliance,302
1030,Reliance,376
1031,Reliance,423
1032,Apollo Hospitals,297
1033,Tata Steel,292
1034,Google,1022
1035,ICICI Bank,442
1036,ICICI Bank,520
1037,Flipkart,401
1038,Google,440
1039,Apollo Hospitals,396
1040,Nestle,264
1041,Reliance,119
1042,ICICI Bank,143
1043,Tata Steel,291
1044,ICICI Bank,792
1045,Amazon,615
1046,Cognizant,112
1047,Wipro,274
1048,Accenture,310
1049,Apollo Hospitals,275
1050,HDFC Bank,112
1051,Google,245
1052,Infosys,434
1053,Flipkart,492
1054,Amazon,631
1055,Nestle,504
1056,Google,134
1057,Deloitte,657
1058,Infosys,256
1059,Reliance,612
1060,Reliance,596
1061,HDFC Bank,979
1062,Deloitte,529
1063,Reliance,441
1064,Infosys,295
1065,ICICI Bank,266
1066,Deloitte,374
1067,Tata Steel,130
1068,Cognizant,652
1069,Accenture,499
1070,Reliance,526
1071,Infosys,279
1072,Infosys,681
1073,Microsoft,430
1074,Cognizant,250
1075,Infosys,226
1076,Deloitte,724
1077,Deloitte,100
1078,Flipkart,224
1079,Cognizant,451
1080,Cognizant,216
1081,Amazon,542
1082,Apollo Hospitals,1006
1083,Accenture,477
1084,Deloitte,493
1085,Nestle,941
1086,ICICI Bank,1060
1087,Deloitte,418
1088,Tata Steel,200
1089,ICICI Bank,226
1090,Flipkart,244
1091,Microsoft,170
1092,Google,540
1093,ICICI Bank,741
1094,Google,552
1095,Apollo Hospitals,326
1096,Cognizant,366
1097,Reliance,270
1098,Cognizant,581
1099,Cognizant,752
1100,Accenture,685
1101,Flipkart,204
1102,Reliance,123
1103,Amazon,380
1104,Accenture,96
1105,Deloitte,306
1106,Nestle,310
1107,Tata Steel,704
1108,HDFC Bank,372
1109,HDFC Bank,658
1110,Wipro,360
1111,Flipkart,636
1112,Wipro,378
1113,Apollo Hospitals,745
1114,Amazon,407
1115,Wipro,177
1116,Tata Steel,547
1117,Infosys,103
1118,Cognizant,404
1119,Google,548
1120,Wipro,264
1121,Cognizant,203
1122,Wipro,195
1123,Flipkart,506
1124,HDFC Bank,237
1125,Flipkart,177
1126,Tata Steel,321
1127,Amazon,766
1128,HDFC Bank,364
1129,Microsoft,96
1130,Infosys,394
1131,Accenture,151
1132,Google,703
1133,Amazon,496
1134,Infosys,227
1135,Reliance,632
1136,Apollo Hospitals,253
1137,Wipro,616
1138,Amazon,544
1139,Nestle,588
1140,Deloitte,215
1141,Tata Steel,226
1142,Reliance,469
1143,Tata Steel,101
1144,HDFC Bank,492
1145,Nestle,627
1146,Amazon,369
1147,Reliance,352
1148,HDFC Bank,625
1149,Wipro,463
1150,Nestle,586
1151,Google,347
1152,Wipro,422
1153,ICICI Bank,549
1154,Flipkart,172
1155,Amazon,805
1156,Google,123
1157,ICICI Bank,681
1158,Cognizant,651
1159,Flipkart,391
1160,Reliance,374
1161,HDFC Bank,248
1162,Wipro,258
1163,Google,284
1164,Accenture,823
1165,ICICI Bank,581
1166,Cognizant,977
1167,Google,126
1168,Cognizant,114
1169,ICICI Bank,406
1170,Apollo Hospitals,140
1171,Apollo Hospitals,360
1172,Accenture,280
1173,Microsoft,447
1174,Infosys,482
1175,Tata Steel,752
1176,Amazon,311
1177,Wipro,314
1178,Google,617
1179,Apollo Hospitals,252
1180,HDFC Bank,552
1181,HDFC Bank,506
1182,Apollo Hospitals,527
1183,Infosys,849
1184,Wipro,400
1185,Flipkart,441
1186,HDFC Bank,404
1187,Infosys,364
1188,Deloitte,769
1189,Deloitte,665
1190,Cognizant,343
1191,Amazon,850
1192,Apollo Hospitals,283
1193,Flipkart,471
1194,Infosys,311
1195,Apollo Hospitals,556
1196,Wipro,392
1197,ICICI Bank,488
1198,Tata Steel,265
1199,Reliance,420
1200,ICICI Bank,401
1201,Deloitte,616
1202,Accenture,506
1203,Accenture,599
1204,Reliance,304
1205,ICICI Bank,678
1206,Reliance,675
1207,Cognizant,794
1208,Reliance,234
1209,HDFC Bank,277
1210,Reliance,913
1211,Flipkart,233
1212,Nestle,278
1213,Nestle,215
1214,Infosys,294
1215,Apollo Hospitals,825
1216,Apollo Hospitals,668
1217,Flipkart,547
1218,Reliance,452
1219,Google,393
1220,HDFC Bank,575
1221,Apollo Hospitals,958
1222,Reliance,607
1223,Wipro,390
1224,Flipkart,364
1225,Apollo Hospitals,330
1226,ICICI Bank,110
1227,Accenture,187
1228,Amazon,964
1229,Google,348
1230,Deloitte,157
1231,Flipkart,344
1232,Flipkart,419
1233,ICICI Bank,417
1234,Wipro,322
1235,Apollo Hospitals,551
1236,Cognizant,401
1237,Amazon,331
1238,Amazon,226
1239,Microsoft,644
1240,Deloitte,310
1241,Apollo Hospitals,481
1242,Apollo Hospitals,191
1243,Amazon,682
1244,Accenture,301
1245,Amazon,472
1246,Accenture,615
1247,Tata Steel,277
1248,HDFC Bank,613
1249,Apollo Hospitals,260
1250,Apollo Hospitals,703
1251,Tata Steel,145
1252,Tata Steel,672
1253,ICICI Bank,155
1254,Infosys,947
1255,Infosys,248
1256,Amazon,156
1257,Cognizant,318
1258,Infosys,598
1259,Apollo Hospitals,528
1260,Microsoft,744
1261,Flipkart,675
1262,Nestle,612
1263,Google,349
1264,Tata Steel,635
1265,Nestle,653
1266,Flipkart,981
1267,Accenture,203
1268,Google,932
1269,Deloitte,746
1270,Google,85
1271,Flipkart,205
1272,Microsoft,246
1273,Wipro,481
1274,Reliance,550
1275,Infosys,182
1276,Accenture,298
1277,HDFC Bank,570
1278,Cognizant,104
1279,Deloitte,134
1280,Wipro,159
1281,Cognizant,455
1282,Tata Steel,165
1283,Flipkart,239
1284,Tata Steel,259
1285,Tata Steel,529
1286,Flipkart,398
1287,Microsoft,581
1288,ICICI Bank,711
1289,Nestle,156
1290,ICICI Bank,860
1291,Apollo Hospitals,445
1292,Cognizant,324
1293,Tata Steel,313
1294,Apollo Hospitals,314
1295,Accenture,516
1296,Flipkart,676
1297,Google,747
1298,Nestle,552
1299,Wipro,158
1300,ICICI Bank,337
1301,Google,606
1302,Cognizant,247
1303,Tata Steel,799
1304,Reliance,619
1305,Reliance,192
1306,ICICI Bank,657
1307,Accenture,611
1308,Google,421
1309,Tata Steel,566
1310,Amazon,112
1311,Accenture,226
1312,Amazon,350
1313,Infosys,133
1314,Google,680
1315,Nestle,301
1316,ICICI Bank,483
1317,Infosys,605
1318,Reliance,506
1319,HDFC Bank,401
1320,Google,433
1321,Infosys,391
1322,Google,860
1323,Tata Steel,484
1324,Nestle,105
1325,Wipro,410
1326,Infosys,290
1327,Infosys,320
1328,Apollo Hospitals,524
1329,ICICI Bank,174
1330,ICICI Bank,531
1331,Amazon,614
1332,HDFC Bank,180
1333,Reliance,618
1334,Amazon,148
1335,Wipro,801
1336,Deloitte,565
1337,Reliance,379
1338,Wipro,545
1339,HDFC Bank,443
1340,Deloitte,526
1341,HDFC Bank,288
1342,Cognizant,338
1343,Deloitte,656
1344,Microsoft,146
1345,Accenture,512
